Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54981009,The Last Thing He Told Me,Laura Dave,"Dave, Laura",,"=""""","=""""",2,3.86,Simon & Schuster,Hardcover,320,2021,2021,2022/08/23,2022/08/23,,,read,,,,1,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",3,4.41,G.P. Putnam’s Sons,ebook,384,2018,2018,2022/08/18,2022/05/01,,,read,,,,1,0
48595550,The Death of Vivek Oji,Akwaeke Emezi,"Emezi, Akwaeke",,"=""0525541608""","=""9780525541608""",0,4.14,Riverhead Books,Hardcover,248,2020,2020,,2022/08/18,to-read,to-read (#55),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Cixin Liu,"Liu, Cixin",Ken Liu,"=""""","=""""",0,4.08,Tor Books,Hardcover,399,2014,2006,,2022/08/18,to-read,to-read (#54),to-read,,,,0,0
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",0,4.25,William Morrow,Mass Market Paperback,491,2006,1990,,2022/08/18,to-read,to-read (#53),to-read,,,,0,0
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,"=""0061142026""","=""9780061142024""",0,4.10,Harper Perennial,Paperback,248,2006,1998,,2022/08/18,to-read,to-read (#52),to-read,,,,0,0
52782536,Land of Big Numbers: Stories,Te-Ping Chen,"Chen, Te-Ping",,"=""0358272556""","=""9780358272557""",0,3.96,Mariner Books,Paperback,233,2021,2021,,2022/08/14,to-read,to-read (#51),to-read,,,,0,0
58725025,"Ordinary Monsters (The Talents Trilogy, #1)",J.M. Miro,"Miro, J.M.",,"=""1250833663""","=""9781250833662""",0,3.82,Flatiron Books,Hardcover,672,2022,2022,,2022/08/14,to-read,to-read (#50),to-read,,,,0,0
50496875,Plain Bad Heroines,Emily M. Danforth,"Danforth, Emily M.",Sara Lautman,"=""0062942859""","=""9780062942852""",0,3.66,William Morrow,Hardcover,640,2020,2020,,2022/08/14,to-read,to-read (#49),to-read,,,,0,0
44436221,Interior Chinatown,Charles Yu,"Yu, Charles",,"=""""","=""""",0,3.99,Pantheon,Hardcover,288,2020,2020,,2022/08/14,to-read,to-read (#48),to-read,,,,0,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.31,Orbit,Paperback,468,2015,2015,2022/08/08,2022/07/28,,,read,"How the story all came together really blew me away. By the end of the book I felt like I could truly feel the fear, pain, and anguish that the characters were experiencing right along side them. A great unexpected read.",,,1,0
31817749,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.35,Orbit,Paperback,416,2017,2017,,2022/08/08,to-read,to-read (#47),to-read,,,,0,0
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.31,Orbit,Paperback,410,2016,2016,,2022/08/08,to-read,to-read (#46),to-read,,,,0,0
57945316,Babel: An Arcane History,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,4.28,Harper Voyager,Hardcover,544,2022,2022,,2022/08/07,to-read,to-read (#45),to-read,,,,0,0
6792458,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,"Alexander, Michelle",,"=""""","=""""",0,4.52,The New Press Inc.,Hardcover,290,2010,2010,,2022/07/13,"non-fiction, try-to-get-back-to, to-read","non-fiction (#1), try-to-get-back-to (#5), to-read (#44)",to-read,,,,0,0
42201395,"Sorcery of Thorns (Sorcery of Thorns, #1)",Margaret  Rogerson,"Rogerson, Margaret",,"=""1481497618""","=""9781481497619""",0,4.07,Margaret K. McElderry Books,Hardcover,456,2019,2019,,2022/08/01,to-read,to-read (#43),to-read,,,,0,0
